,ARF3 (377)
ACH-001301,-0.331814276094
ACH-001302,0.0030752971143099997
ACH-001303,-0.16149228364600002
ACH-001306,-0.210669359643
ACH-001318,-0.40411109147200003
ACH-001322,-0.332870618821
ACH-001328,-0.324171322346
ACH-001332,-0.235430955994
ACH-001333,-0.26077041314
ACH-001336,-0.364371167093
ACH-001340,-0.274900604196
ACH-001346,-0.332556417502
ACH-001353,-0.175076056961
ACH-001354,-0.0363893599204
ACH-001367,-0.361754657382
ACH-001368,-0.2374237638
ACH-001374,-0.752292764532
ACH-001375,-0.335056530916
ACH-001377,-0.34090979409500005
ACH-001380,-0.26161258555399997
ACH-001391,-0.380217928612
ACH-001407,-0.40495459276999995
ACH-001408,-0.142922730925
ACH-001413,-0.404345745252
ACH-001430,-0.41466830720799996
ACH-001431,-0.37140427520400005
ACH-001450,-0.209894014429
ACH-001496,-0.17999629625799998
ACH-001500,-0.33265351647
ACH-001521,-0.183445826864
ACH-001523,-0.281258207675
ACH-001532,-0.27967607470899997
ACH-001536,-0.309938433847
ACH-001550,-0.312699353074
ACH-001552,-0.38942119801700004
ACH-001554,-0.190135213215
ACH-001645,-0.194695726238
ACH-001654,-0.335506546766
ACH-001715,-0.12859598983200002
ACH-001735,-0.21444104959600002
ACH-001736,-0.280488398168
ACH-001737,0.0738998368179
ACH-001740,-0.396629573954
ACH-001745,-0.27453657669
ACH-001750,-0.266283420245
ACH-001765,-0.245487989164
ACH-001956,-0.326319387733
ACH-001957,-0.33812545295100005
